date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,-19687,39009,5683,44498,65900,2.02,,,53234,,,35970,,90925,2013年01月01日至2013年03月31日,180182,224680,146247,180555,170601,62815,3208190,3571989,363799,363799,193198,1714,,,2.01,,100559,180182,233416,,1715.0,,17847,33935,44125
2013-08-06,2,2013,,,-57274,19261,9863,-4792,47333,1.1,1.1,,111248,,,23309,,105374,2013年04月01日至2013年06月30日,105328,100536,81715,64822,182871,33705,3859704,4250836,391132,391132,208261,2547,,,1.08,1.08,100340,105328,216576,,-5149.0,,18728,23613,35714
2013-11-08,3,2013,,,-5097,1577,7107,-20850,-24426,2.00,2.00,,60346,,,22238,,83623,2013年07月01日至2013年09月30日,175428,154578,148482,133475,222835,12939,3776731,4191173,414442,414442,191607,2705,,,1.97,1.97,105279,175428,235774,,-8673,,17983,26946,21103
2014-03-20,4,2013,,,-107785,87833,50373,42022,132697,5.89,5.89,,188782,,,109313,,392074,2013年01月01日至2013年12月31日,495463,537485,440960,457981,508120,176125,14659455,16004507,1345052,1345052,836932,10575,,1905.0,5.82,5.82,434283,495463,684245,,-15205.0,,71394,54503,79504
2014-05-09,1,2014,,,27412,44809,4317,64595,46911,1.45,1.45,,9313,,,31982,,105703,2014年01月01日至2014年03月31日,109313,173908,114921,169578,55539,63087,3533507,3817428,283921,283921,228382,4908,,,1.44,1.44,117771,109313,118626,,9728.0,,18021,-5608,4330
2014-08-06,2,2014,,-9515.0,-52906,652,8784,-99697,-66484,0.9,0.94,,-8020,,,35136,,108474,2014年第2季,20380,-79317,71136,-13741,-2010,23885,4212374,4464373,251999,251999,254009,10633,,,0.89,0.94,134902,29895,21875,,-19693.0,,20687,-50756,-65576
2014-11-06,3,2014,,746,-19898,44083,13597,37519,60929,0.97,0.97,,-5195,,,37165,,224952,2014年第3季,-11033,26486,77345,100871,-91050,74076,4277468,4577522,300054,300054,391104,20512,,,0.97,0.97,145640,-11779,-16974,,3512,,20769,-88378,-74385
2015-03-25,4,2014,,-12326.0,-28941,139453,45482,101651,121925,5.29,5.35,,-3043,,24988.0,150559,,569182,2014年度,292341,393992,417151,478136,49133,252491,16163496,17361628,1198132,1198132,1148999,64031,,-1185.0,5.28,5.34,515786,304667,301624,,15136.0,,83003,-124810,-84144
2015-05-13,1,2015,,-6.0,39504,8923,10324,23738,-4554,1.96,1.96,23738.0,38408,,,29245,-6880.0,96675,2015年01月01日至2015年03月31日,223658,247396,150528,154950,237011,25061,3578141,4077501,499360,499360,262349,22460,,,1.95,1.95,143214,223664,262072,,,4332.0,23431,73130,92446
2015-08-05,2,2015,,-11.0,5184,897708,11693,-29615,-27890,8.72,8.72,-29615.0,57055,,,25251,-5261.0,108529,2015年第2季,680350,650735,671270,652454,-176352,913768,3676569,3852301,175732,175732,352084,25960,,,8.69,8.69,217595,680361,737416,,,1648.0,20884,9080,-1719
2015-11-05,3,2015,,1.0,-91665,-29848,21289,-26894,58478,0.68,0.68,-26894.0,-1220,,,56446,11426.0,118300,2015年第3季,51286,24392,52489,-945,21802,28263,3186333,3556986,370653,370653,348851,12958,,,0.68,0.68,217593,51285,50065,,,5133.0,19624,-1203,25337
2016-02-24,4,2015,-2695.0,-12.0,-16182,856105,53765,-65726,-26884,13.57,13.57,-63031.0,143862,-364.0,,168169,-11457.0,399907,2015年度,1174731,1109005,1027300,950097,324601,994004,13583113,15080467,1497354,1497354,1172753,70104,-2809.0,,13.51,13.51,702742,1174743,1318605,-478.0,,8508.0,84035,147431,158908
2016-05-10,1,2016,,,7563,346562,69729,-24808,-37143,5.93,5.93,-24808.0,47228,,,42899,-7390.0,82635,2016年01月01日至2016年03月31日,461490,436682,420949,414111,70006,438712,2843817,3165690,321873,321873,251867,26791,,,5.91,5.91,142441,461490,508718,,,-12162.0,20478,40541,22571
