date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,-1673.0,21864,10990,,-1673.0,1.65,1.65,,33586,35009,2013年01月01日至2013年03月31日,165807,164134,164807,163134,166539,32854,422431,671882,249451,249451,82912,30352,,,1.64,1.64,17551,165807,199393,,,672336,672336,671882,454,1000,1000
2013-08-09,2,2013,,0.0,6246,12213,12213.0,0.0,1.74,1.74,,41563,35874,2013年04月01日至2013年06月30日,174466,174466,173516,173516,197570,18459,441625,719822,278197,278197,80627,28421,,,1.73,1.73,16332,174466,216029,,,720314,720314,719822,492,950,950
2013-11-06,3,2013,,0.0,-8493,15630,15630.0,0.0,1.58,1.58,,40451,34708,2013年07月01日至2013年09月30日,159623,159623,158406,158406,192937,7137,437627,703796,266169,266169,73232,23187,,,1.58,1.58,15337,159623,200074,,,704392,704392,703796,596,1217,1217
2014-03-26,4,2013,,-1673.0,-77713,58976,58976.0,-860.0,5.12,5.12,,133226,142767,2013年01月01日至2013年12月31日,516317,515457,512055,511195,668280,-18737,1644146,2637127,992981,992981,324701,115408,,979.0,5.07,5.07,66526,516317,649543,,166.0,2638850,2638850,2637127,1723,4262,4262
2014-05-07,1,2014,,0.0,14461,12123,,0.0,0.87,0.87,,18344,30324,2014年01月01日至2014年03月31日,87856,87856,86623,86623,79616,26584,308272,460122,151850,151850,72234,26372,,,0.86,0.86,15538,87856,106200,,,460890,460890,460122,768,1233,1233
2014-08-06,2,2014,,10.0,-8454,12111,12111.0,10.0,0.52,0.52,,9872,36388,2014年第2季,53474,53484,52251,52261,59689,3657,326922,466806,139884,139884,80195,28562,,,0.52,0.52,15245,53474,63346,,,468211,468211,466806,1405,1223,1223
2014-11-12,3,2014,,-10.0,10460,36708,36708.0,-10.0,0.65,0.65,,23522,40780,2014年第3季,66189,66179,64583,64573,42543,47168,366544,502030,135486,135486,92943,35310,,,0.64,0.64,16853,66189,89711,,,502493,502493,502030,463,1606,1606
2015-03-18,4,2014,,0.0,79803,39533,39533.0,-33.0,2.85,2.85,,73617,146190,2014年度,290942,290909,284741,284708,245223,119336,1346786,1916473,569687,569687,324464,115521,,-40.0,2.81,2.81,62753,290942,364559,,-7.0,1920217,1920217,1916473,3744,6201,6201
2015-04-29,1,2015,,,-14149,4814,,,0.26,0.26,,5679,33760,2015年01月01日至2015年03月31日,27903,27903,26089,26089,42917,-9335,332009,448316,116307,116307,73390,24872,,,0.26,0.26,14758,27903,33582,,,449563,449563,448316,1247,1814,1814
2015-08-05,2,2015,,0.0,23827,4372,4372.0,0.0,0.38,0.38,0.0,4754,33401,2015年第2季,39322,39322,38136,38136,15877,28199,307101,396024,88923,88923,73046,25199,,,0.37,0.37,14446,39322,44076,,,398377,398377,396024,2353,1186,1186
2015-11-11,3,2015,,39,54087,7454,7454,39,0.58,0.58,39,8631,34030,2015年第3季,60872,60911,57597,57636,7962,61541,333433,414918,81485,81485,73523,25703,,,0.57,0.57,13790,60872,69503,,,416560,416560,414918,1642,3275,3275
2016-03-16,4,2015,-1897.0,167.0,63557,24124,,-1730.0,1.38,1.38,167.0,22183,127976,2015年度,146372,144642,138405,136675,80874,87681,1259656,1609736,350080,350080,269206,89605,-2286.0,,1.35,1.35,51625,146372,168555,-389.0,,1616438,1616438,1609736,6702,7967,7967
2016-05-04,1,2016,,102.0,-4658,5778,,102.0,0.15,0.15,102.0,3440,27302,2016年01月01日至2016年03月31日,16840,16942,15300,15402,19160,1120,263636,344288,80652,80652,61492,21543,,,0.15,0.15,12647,16840,20280,,,346320,346320,344288,2032,1540,1540
2016-08-10,2,2016,,86.0,604,5577,,86.0,0.17,0.17,86.0,6742,27171,2016年第2季,18793,18879,17442,17528,19354,6181,269973,348078,78105,78105,58751,20194,,,0.17,0.17,11386,18793,25535,,,348988,348988,348078,910,1351,1351
2016-11-09,3,2016,,74.0,-14933,3992,3992.0,74.0,0.05,0.05,74.0,1481,25971,2016年第3季,7055,7129,5064,5138,19477,-10941,318618,397305,78687,78687,59210,21664,,,0.05,0.05,11575,7055,8536,,,398004,398004,397305,699,1991,1991
