date,season,year,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,510,1507,113812,113812,1.56,1.56,,93512,74110,2013年01月01日至2013年03月31日,188707,302519,188707,302519,280202,2017,707998,1086273,378275,378275,98073,1716,1.56,1.56,22247,188707,282219,0,,
2013-08-07,2,2013,-6988,2061,59955,59955,2.03,2.03,,121928,75916,2013年04月01日至2013年06月30日,245353,305308,245353,305308,372208,-4927,856783,1329368,472585,472585,100377,1820,2.03,2.03,22641,245353,367281,0,,
2013-11-11,3,2013,-49,2352,-49149,-49149,2.24,2.24,,107572,76245,2013年07月01日至2013年09月30日,270905,221756,270905,221756,376174,2303,864020,1339401,475381,475381,99207,1924,2.24,2.24,21038,270905,378477,0,,
2014-03-25,4,2013,-8937,8490,206048,206048,7.89,7.89,,471275,302205,2013年01月01日至2013年12月31日,954292,1160340,954292,1160340,1426014,-447,3343760,5172937,1829177,1829177,403163,7318,7.89,7.89,93640,954292,1425567,0,,
2014-05-05,1,2014,-1652,2714,-33155,-33155,1.92,1.92,,130366,78485,2014年01月01日至2014年03月31日,232589,199434,232589,199434,363590,-635,868836,1338959,470123,470123,106533,4824,1.77,1.77,23224,232589,362955,1697,,
2014-08-12,2,2014,-5448,3412,-97492,-97492,2.21,2.21,,134066,115620,2014年第2季,267452,169960,267452,169960,408661,-7143,1013412,1565861,552449,552449,143788,2505,2.08,2.08,25663,267452,401518,5107,,
2014-11-11,3,2014,-1554,3217,158200,158200,1.97,1.97,,123134,77212,2014年第3季,238113,396313,238113,396313,362333,-1086,843921,1308411,464490,464490,102157,2439,1.82,1.82,22506,238113,361247,2749,,
2015-03-30,4,2014,-20424,18214,211016,211016,8.36,8.36,,533121,351265,2014年度,1011784,1222800,1011784,1222800,1559534,-14629,3699874,5724250,2024376,2024376,464842,9885,7.84,7.84,103692,1011784,1544905,12419,,
2015-05-06,1,2015,-1524,4138,-64777,-64777,1.84,1.84,-64777.0,115976,80299,2015年01月01日至2015年03月31日,222723,157946,222723,157946,339036,-337,836651,1282496,445845,445845,106809,2339,1.71,1.71,24171,222723,338699,2951,,
2015-08-11,2,2015,-6134,3927,-90483,-90483,2.24,2.24,-90483.0,140387,79069,2015年第2季,270849,180366,270849,180366,416429,-5193,1002138,1529950,527812,527812,111383,2504,2.1,2.1,29810,270849,411236,2986,,
2015-11-05,3,2015,-18794,4602,277960,277960,1.78,1.78,277960.0,129072,80983,2015年第3季,229959,507919,229959,507919,376164,-17133,920421,1403952,483531,483531,107367,2529,1.56,1.56,23855,229959,359031,2941,,
2016-03-24,4,2015,-50148,17671,-25746,-25746,7.69,7.69,-25746.0,531888,324233,2015年度,990151,964405,990151,964405,1566342,-44303,3800875,5808001,2007126,2007126,440784,9529,7.04,7.04,107022,990151,1522039,11826,,
2016-05-05,1,2016,12658,4942,-95655,-95655,1.88,1.88,-95655.0,115294,80091,2016年01月01日至2016年03月31日,240726,145071,242111,146442,339958,16062,825154,1274423,449269,449269,109311,1429,1.76,1.76,27791,240726,356020,1538,-1385.0,-1371.0
2016-08-09,2,2016,-11174,4120,-163590,-163590,2.18,2.18,-163590.0,148525,85519,2016年第2季,281042,117452,283844,120255,437186,-7619,1008839,1559432,550593,550593,113407,1571,2.1,2.1,26317,281042,429567,565,-2802.0,-2803.0
2016-11-11,3,2016,-15770,2979,-168754,-168754,0.86,0.86,-168754.0,81203,83545,2016年第3季,141206,-27548,144284,-24486,236024,-13615,648990,991752,342762,342762,106738,1493,0.83,0.83,21700,141206,222409,824,-3078.0,-3062.0
