date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,勞務成本,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,採用權益法認列之關聯企業及合資之其他綜合損益之份額－現金流量避險中屬有效避險部分之避險工具利益（損失）,採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),採用權益法認列關聯企業及合資之確定福利計畫再衡量數,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,4400,,,7200,13098,,26706,26361,15880,,485174.0,499110,9713,0.38,0.38,,,,3721,,1767.0,680.0,1087.0,,219219,,,,,2013年01月01日至2013年03月31日,223826,239706,223826,239706,-4750,232297,688354,730282,41928,41928,46678,,,0.38,0.38,223826,227547,,,,7220,176474,204811,0.0,0.0
2013-08-09,2,2013,,1000,,,-9031,31010,,36421,35972,-17473,,754599.0,414196,-20028,-0.05,-0.05,,,,15389,,1555.0,170.0,1385.0,,313114,,,,,2013年04月01日至2013年06月30日,-27731,-45204,-27731,-45204,-339392,327050,991710,689534,-302176,-302176,37216,,,-0.05,-0.05,-27731,-12342,,,,8043,200690,239366,,
2013-11-11,3,2013,,20600,,,-30069,4677,,45301,44601,18187,,265080.0,275365,-4084,0.46,0.46,,,,2153,,1671.0,332.0,1339.0,,287659,,,,,2013年07月01日至2013年09月30日,272290,290477,272290,290477,20345,254098,512388,582531,70143,70143,49798,,,0.46,0.46,272290,274443,,,,8169,202007,262565,,
2014-03-20,4,2013,,19400,,,-21196,53829,,140925,138986,1904,,1862203.0,1567702,-18513,1.3,1.3,,,,28090,,4574.0,2051.0,4209.0,-1686.0,1070023,,,,,2013年01月01日至2013年12月31日,766079,767983,766079,767983,-277368,1071537,2771099,2672820,-98279,-98279,179089,,105.0,1.3,1.3,766079,794169,,3662.0,,31119,767971,966132,,
2014-05-09,1,2014,,26600,,,8355,379159,4679.0,27593,27304,24737,,116622.0,126954,2468,0.95,0.95,,374480.0,,58595,,735.0,-422.0,1157.0,,230546,,,,,2014年01月01日至2014年03月31日,556771,581508,556771,581508,5512,609854,315151,380360,65209,65209,59697,,,0.94,0.94,556771,615366,,5066.0,,8206,170936,226102,,
2014-08-11,2,2014,,-20000,,,-3145,12886,12886.0,37277,36811,-16754,,170545.0,168963,1694,0.67,0.67,,0.0,,10479,,-1879.0,-2869.0,990.0,,386134,,,,,2014年第2季,393882,377128,393882,377128,18907,385454,398038,469240,71202,71202,52295,,,0.67,0.67,393882,404361,,-3431.0,,10421,190216,263466,,
2014-11-11,3,2014,,-20800,,,8159,31927,4028.0,48877,48341,-15474,,63544.0,46213,-1190,0.82,0.82,,27899.0,,-52643,,3346.0,1910.0,1436.0,,373550,,,,,2014年第3季,483406,467932,483406,467932,27190,403573,296096,382875,86779,86779,59589,,,0.82,0.82,483406,430763,,-3170.0,,10063,183675,288321,,
2015-03-25,4,2014,,8800,,,23184,432142,29763.0,148772,146093,25378,492127.0,,467306,14239,2.93,2.93,,402379.0,,25854,,6618.0,3542.0,4461.0,-1385.0,1284180,,,,,2014年度,1728440,1753818,1728440,1753818,55991,1698303,1387886,1651180,263294,263294,207303,,1202.0,2.93,2.93,1728440,1754294,,5481.0,,41203,746987,1037781,,
2015-05-08,1,2015,307.0,13200,,,-5058,3134,3134.0,30579,30128,7863,,62663.0,68053,-3919,0.38,0.38,,0.0,7556.0,2980,79.0,,,,,234154,-1409.0,-177.0,1232.0,79.0,2015年01月01日至2015年03月31日,222945,230808,222945,230808,6104,219821,258103,307102,48999,48999,42895,275.0,,0.38,0.38,222945,225925,47.0,,1548.0,12409,164861,208921,,
2015-08-11,2,2015,0.0,-400,0.0,0.0,-6493,11414,11414.0,40198,39750,-5674,,8370.0,63629,-5865,0.56,0.56,,0.0,-5674.0,62477,0.0,,,,,341869,-1769.0,-571.0,1198.0,0.0,2015年第2季,329705,324031,329705,324031,57384,334798,244725,347526,102801,102801,45417,0.0,,0.56,0.56,329705,392182,0.0,,-1162.0,11992,196157,244147,0.0,0.0
