date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之權益工具投資利益(損失),推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,,0.0,16012,-6749,10381,51911,4819.0,2039,1.08,,103028,,,33860.0,,5292.0,-5292,,,200214,2013年01月01日至2013年03月31日,468499,520410,,467293,517165,578006,-6479,1902473,3053125,1150652,1150652,572646,,34229,,,1.08,338203,468499,571527,,,,4819,,3053125,1206,3245
2013-08-14,2,2013,,,,24315,-11569,14467,20725,4564.0,418,1.09,,119799,,,-4008.0,0.0,309.0,-309,,,213892,2013年04月01日至2013年06月30日,472001,492726,,464912,485191,593775,-1975,1920888,3130594,1209706,1209706,615931,,34487,,,1.09,367552,472001,591800,,,,4564,,3130594,7089,7535
2013-11-13,3,2013,,,,55792,-25713,23017,60462,5751.0,-637,1.2,,109122,,,5307.0,27982.0,,27982,,,215538,2013年07月01日至2013年09月30日,523887,584349,,511409,569037,613474,19535,1934506,3146898,1212392,1212392,598918,,35252,,,1.19,348128,523887,633009,,,,5751,,3146898,12478,15312
2014-03-27,4,2013,,,0.0,141638,-119777,64348,280711,21547.0,17793,4.57,,431647,,,65349.0,125439.0,,125439,,,855703,2013年01月01日至2013年12月31日,1984140,2264851,,1945567,2213699,2367324,48463,7801426,12612747,4811321,4811321,2443997,,139815,,66349.0,4.57,1448479,1984140,2415787,,10418.0,,21547,,12612747,38573,51152
2014-05-14,1,2014,,,0.0,535,-27674,15796,-5577,6334.0,1386,1.16,,98224,,,-7498.0,16068.0,,16068,,,250245,2014年01月01日至2014年03月31日,506060,500483,,491313,482406,606428,-2144,1928254,3143679,1215425,1215425,608997,,38109,,,1.16,320643,506060,604284,,,,6334,,3143679,14747,18077
2014-08-13,2,2014,,,,-29708,-14408,13943,-57857,6187.0,-1792,1.22,,99549,,,-26357.0,28013.0,,28013,,,234813,2014年第2季,526817,468960,,516825,459508,605005,21361,1995674,3186304,1190630,1190630,585625,,36460,,,1.22,314352,526817,626366,,,,6187,,3186304,9992,9452
2014-11-12,3,2014,,,,13168,-12023,30090,48006,,1412,1.31,,85731,,,33426.0,39989.0,,39989,,,250862,2014年第3季,575158,623164,,559096,601780,609263,51626,2057810,3287176,1229366,1229366,620103,,37081,,,1.31,332160,575158,660889,,,,6430,,3287176,16062,21384
2015-03-24,4,2014,,,0.0,-39401,-49621,74439,-24321,25866.0,-4,4.74,,477664,,,-3488.0,137070.0,,137070,,,970102,2014年度,2086789,2062468,,2033942,2002452,2428431,136022,8231487,13071916,4840429,4840429,2411998,,145934,,21456.0,4.73,1295962,2086789,2564453,,2884.0,,25866,,13071916,52847,60016
2015-05-14,1,2015,0.0,0.0,0.0,260,14778,10398,2441,6558.0,384,1.2,2441.0,109172,0.0,0.0,,6797.0,,6797,1797.0,,244530,2015年01月01日至2015年03月31日,527967,530408,0.0,518900,519970,611724,25415,2101083,3290570,1189487,1189487,577763,,34059,0.0,,1.2,299174,527967,637139,0.0,,0.0,6558,0.0,3290570,9067,10438
2015-08-13,2,2015,0.0,0.0,,-142689,-88541,225889,-151769,6475.0,-15,1.18,-151769.0,146152,0.0,0.0,,-13994.0,,-13994,-9065.0,0.0,243679,2015年第2季,521746,369977,0.0,515497,359376,551019,116879,2176035,3304117,1128082,1128082,577063,0.0,31690,0.0,,1.18,301694,521746,667898,0.0,,0.0,6475,0.0,3304117,6249,10601
