date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,37813,-4839,8523,56909,19096,1.29,1.29,,57281,32962,2013年01月01日至2013年03月31日,264126,321035,263734,320643,323266,-1859,1843290,2233106,389816,389816,66550,,,1.29,1.29,33588,264126,321407,,,5543,392,392
2013-08-08,2,2013,,-29098,-34388,8595,-34096,-4998,0.44,0.44,,27604,2644,2013年04月01日至2013年06月30日,89303,55207,89278,55182,148378,-31471,2035166,2217808,182642,182642,34264,,,0.44,0.44,31620,89303,116907,,,5678,25,25
2013-11-08,3,2013,,-7229,2522,24167,-18050,-10821,0.89,0.89,,41990,18537,2013年07月01日至2013年09月30日,186099,168049,185770,167720,205711,22378,1913951,2167475,253524,253524,47813,,,0.89,0.89,29276,186099,228089,,,4311,329,329
2014-03-13,4,2013,,-20464,-24794,54824,-8301,11683,3.4,3.4,,165216,73797,2013年01月01日至2013年12月31日,712842,704541,710900,702596,868746,9312,7819841,8890890,1071049,1071049,202303,,578.0,3.39,3.39,128506,712842,878058,,98.0,20718,1942,1945
2014-05-08,1,2014,,107416,14173,8324,130694,23278,0.84,0.84,,36372,17074,2014年01月01日至2014年03月31日,176669,307363,176188,306882,195986,17055,1942389,2177890,235501,235501,39515,,,0.84,0.84,22441,176669,213041,,,5442,481,481
2014-08-07,2,2014,,-44310,-12370,9073,-77330,-33020,0.67,0.67,,51628,17634,2014年第2季,139932,62602,139370,62040,200020,-8460,2358309,2606046,247737,247737,47717,,,0.67,0.67,30083,139932,191560,,,5163,562,562
2014-11-11,3,2014,,-52504,3603,33731,-26178,26326,1.2,1.2,,58252,18549,2014年第3季,251736,225558,251107,224929,277742,32246,2335784,2665923,330139,330139,52397,,,1.2,1.2,33848,251736,309988,,,5088,629,629
2015-03-18,4,2014,,22285,31333,64098,72080,54125,3.56,3.56,,184655,76973,2014年度,746675,818755,744323,816431,856654,74676,9372637,10428903,1056266,1056266,199612,,-5217.0,3.55,3.55,122639,746675,931330,,-887.0,20755,2352,2324
2015-05-04,1,2015,,-16695,-19399,9006,-37293,-20598,0.38,0.38,-37293.0,12892,18734,2015年01月01日至2015年03月31日,80999,43706,80253,42960,108302,-14411,2514374,2672795,158421,158421,50119,,,0.38,0.38,31385,80999,93891,,,4018,746,746
2015-08-04,2,2015,,50669,-31864,10602,20887,-29782,0.79,0.79,20887.0,60289,17520,2015年第2季,166984,187871,166168,187055,253657,-26384,2372930,2675996,303066,303066,49409,,,0.79,0.79,31889,166984,227273,,,5122,816,816
2015-11-11,3,2015,,-41487,-3202,30570,-4128,37359,0.43,0.43,-4128.0,21525,17837,2015年第3季,90534,86406,89868,85740,88768,23291,2434796,2574129,139333,139333,50565,,,0.43,0.43,32728,90534,112059,,,4077,666,666
2016-03-15,4,2015,-4630,14996,-61265,61022,-2808,-13174,2.40,2.40,1822,129244,73943,2015年度,505021,502213,502178,499690,652509,-18244,9625424,10484003,858579,858579,206070,-5579,,2.40,2.40,132127,505021,634265,-949,,18001,2843,2523
2016-05-05,1,2016,,-4691,-14345,10818,-16019,-11328,0.65,0.65,-16019.0,25099,15570,2016年01月01日至2016年03月31日,136277,120258,135554,119535,169246,-7870,1777195,1995736,218541,218541,49295,,,0.65,0.65,33725,136277,161376,,,4343,723,723
2016-08-11,2,2016,,-21198,38897,11874,-21109,89,0.79,0.79,-21109.0,34470,15583,2016年第2季,166082,144973,165330,144221,154080,46472,2058466,2261617,203151,203151,49071,,,0.79,0.79,33488,166082,200552,,,4299,752,752
2016-11-10,3,2016,,-18294,-38847,45629,-50859,-32565,1.01,1.01,-50859.0,37146,15569,2016年第3季,211027,160168,210288,159429,244948,3225,2054022,2352957,298935,298935,53987,,,1.0,1.0,38418,211027,248173,,,3557,739,739
