stock,88年1-9月,稅後純益,88年1-9月,增減(%),期末股本,稅後純益,88年1-9月,每股淨值,淨值佔總資產,流動比率,速動比率,公司,,營業收入,88年1-9月,增減(%),營業利益,88年1-9月,營業外
11,2668523,-497115,5609330,,77592402,-0.06,0.77,15.1015,54.5172,1.22,0.85,11,水泥類,33801026,34173859,-1.09,49383,3187959,-464176
1101,574493,675219,1291885,-47.73,23722200,0.28,0.59,16.8407,44.5155,0.89,0.63,1101,台泥,13080649,12877347,1.58,49348,711392,782871
1102,1334516,373686,2325787,-83.93,20377428,0.18,1.24,17.1603,65.5128,1.04,0.76,1102,亞泥,8283390,9467986,-12.51,618979,1246946,-237615
1103,-474053,-271805,-38558,604.93,6996391,-0.39,-0.06,13.9096,43.3065,2.34,1.98,1103,嘉泥,2091091,1994118,4.86,161603,325014,-472148
1104,108353,107198,271483,-60.51,4245904,0.25,0.64,13.8861,70.1938,1.32,0.7,1104,環泥,2179081,2136993,1.97,-14244,147920,124152
1107,1224571,-1163499,1413468,,8409598,-1.38,1.82,10.7958,51.094,0.79,0.3,1107,建台,4017167,2411804,66.56,-748918,176537,-507194
1108,-94825,-192126,20970,,4047381,-0.47,0.06,11.3328,56.3212,0.99,0.67,1108,幸福,2115644,2508299,-15.65,-62912,153414,-133226
1109,85436,156336,235993,-33.75,4207140,0.37,0.56,12.7248,87.9912,3.76,3.08,1109,信大,1065854,1301143,-18.08,80282,228368,119842
1110,-89968,-182124,88302,,5586360,-0.33,0.16,13.6256,85.0744,9.21,5.78,1110,東泥,968150,1476169,-34.41,-34755,198368,-140858
12,-1240875,2181076,-348459,,100912848,0.22,-0.03,11.5116,51.6401,0.97,0.48,12,食品類,96055543,97202302,-1.18,1982947,1136650,552477
1201,-2094135,48277,-1736252,,5060629,0.1,-3.43,7.9792,28.6138,0.64,0.47,1201,味全,7365176,7824773,-5.87,310639,334356,-268016
1203,-4680,-264299,-32633,709.91,2092537,-1.26,-0.16,12.1373,36.6716,0.98,0.46,1203,味王,2492335,2156540,15.57,5883,-17953,-270182
1204,1158,-14424,-31857,-54.72,600000,-0.24,-0.53,9.7389,49.8656,0.97,0.54,1204,津津,681271,437512,55.71,-13355,-42846,-1066
1207,389229,-175805,142465,,12842278,-0.14,0.11,10.0265,36.2692,0.88,0.23,1207,嘉食化,7326149,6665160,9.92,-103145,-248654,-140346
1210,42749,326129,362573,-10.05,4330994,0.75,0.87,11.525,58.1741,1.44,0.83,1210,大成,9036119,8499289,6.32,278328,341024,69091
1212,-137109,-385933,-85232,352.8,2731664,-1.41,-0.31,7.5066,29.4089,0.61,0.34,1212,中日,3657171,3516369,4,-148164,51877,-237769
1213,12994,23935,21911,9.24,389963,0.61,0.56,14.5807,75.4024,1.79,1.32,1213,大飲,514965,543511,-5.25,8750,12936,19713
1214,128498,-20862,64838,,700000,-0.3,0.93,5.0675,23.2623,0.44,0.27,1214,尚德,440397,214353,105.45,-29834,-65892,8972
1215,-161671,14447,62759,-76.98,2266274,0.06,0.28,11.3946,53.8587,1.6,0.94,1215,卜蜂,8816508,8470755,4.08,205331,286679,-152851
1216,1500365,2440983,2125921,14.82,31581671,0.77,0.73,12.6463,61.3143,0.9,0.53,1216,統一,24224620,22806158,6.22,307069,548379,2048128
1217,108690,1549,122446,-98.73,3639628,<<<<<,0.35,10.4327,59.9381,0.89,0.56,1217,愛之味,2168473,2085779,3.96,121067,28514,-159702
1218,-124142,91530,159350,-42.56,3232980,0.28,0.49,10.2416,51.2847,1.57,0.8,1218,泰山,3510373,4006018,-12.37,234406,299478,-93995
1219,-40653,14894,-43512,,2463300,0.06,-0.18,11.0322,68.3995,3.21,1.81,1219,福壽,3053123,3069028,-0.52,35644,-312,-26445
1220,56204,74273,273400,-72.83,1790779,0.41,1.62,12.382,69.258,2.74,1.92,1220,台榮,1369666,1596015,-14.18,-6197,149527,64362
1221,-181721,253844,-95328,,1578020,1.61,-0.65,12.3421,60.048,1.35,0.66,1221,久津,1499075,1400034,7.07,69612,95593,204232
1222,3062,-482872,-277084,74.27,1874000,-2.58,-1.48,4.2699,38.5094,0.11,0.05,1222,源益,698076,1284480,-45.65,-214957,-309006,-195035
1223,-176393,-300287,-538304,-44.22,1205609,-2.49,-0.71,36.7428,46.7698,1.22,0.19,1223,順大裕,607802,2895027,-79.01,129663,-311805,-351281
1224,-104730,-205929,-95985,114.54,949421,-2.17,-1.01,5.4508,21.8742,0.71,0.29,1224,惠勝,2749909,2039887,34.81,54040,8105,-256093
1225,-48791,-16818,-63821,-73.65,1995418,-0.08,-0.32,10.2562,62.6351,1,0.59,1225,福懋油,2705732,2825661,-4.24,49947,-15030,-67756
1226,-289809,-195384,-714446,-72.65,2320000,-0.84,-3.08,6.332,35.6531,0.96,0.3,1226,立大,1189909,2313514,-48.57,-75503,-376168,-49064
1228,-107113,-343067,-535172,-35.9,998000,-3.44,-3.77,5.4929,21.3887,0.89,0.1,1228,臺芳,500529,508268,-1.52,-159851,-428059,-183216
1229,451473,675586,482442,40.03,6483263,1.04,0.78,14.2673,77.1242,0.59,0.36,1229,聯華,1153719,1039372,11,35734,30676,628472
1230,-525251,-82622,-554613,-85.1,728957,-1.13,-7.61,0.0573,0.3827,0.45,0.04,1230,聯成食,345709,995050,-65.26,-26942,-29364,-56432
1231,5699,93407,161887,-42.3,1120000,0.83,1.52,14.2618,71.5878,1.9,0.8,1231,聯華食,1243225,1396278,-10.96,133045,201848,-2255
1232,8661,173489,49721,248.93,1509197,1.15,0.33,12.3517,54.5239,1.03,0.58,1232,大統益,3951840,3861385,2.34,217798,52019,-12029
1233,-17089,55507,27208,104.01,804898,0.69,0.36,11.737,69.7989,1.86,1.24,1233,天仁,827630,754219,9.73,82190,58226,-5054
1234,65168,343881,369758,-7,5250000,0.66,0.74,14.5816,66.2347,2.93,2.39,1234,黑松,3194879,3347236,-4.55,434501,444590,34380
1235,-1538,37647,29101,29.37,373368,1.01,0.82,14.0353,69.199,3.16,2.6,1235,興泰,731163,650631,12.38,47248,37912,3714
13,2599515,32906970,15198842,116.51,158761746,2.07,1.04,18.5065,54.7563,1.21,0.63,13,塑膠類,188115584,149309651,25.99,12931449,10974307,14016523
1301,417223,11530978,4940682,133.39,38527897,2.99,1.4,22.097,55.9624,1.21,0.49,1301,臺塑,39066013,29203160,33.77,3466452,3583897,5859490
1303,705806,16926457,7762196,118.06,52323647,3.24,1.68,22.9612,54.2078,1.13,0.58,1303,南亞,81037219,68256496,18.72,6983651,6106353,6934738
1304,509478,345723,694345,-50.21,7714032,0.45,0.95,12.8896,69.6834,2.03,1.27,1304,臺聚,3793032,3458016,9.69,-189598,281167,422621
1305,260847,-296613,131802,,4248035,-0.7,0.31,12.753,51.7243,1.42,0.84,1305,華夏,5519039,4828079,14.31,-335330,-116449,-83520
1307,5056,42842,55783,-23.2,2069490,0.21,0.27,12.5735,62.2486,1.38,0.78,1307,三芳,2736454,2506580,9.17,38120,66314,9345
1308,148607,69560,280276,-75.18,2279277,0.31,1.23,16.6632,89.7803,5.63,4.17,1308,亞聚,1951165,1851485,5.38,-58041,197796,117632
1309,91514,83280,126627,-34.23,2626218,0.32,0.51,14.7168,81.5755,3.66,2.41,1309,臺達化,3375459,2711584,24.48,11036,56852,66220
1310,88635,946590,257979,266.93,4618265,2.05,0.6,14.4221,79.9945,2.02,1.09,1310,台苯,6149641,3225677,90.65,1146944,148966,91267
1311,29311,105236,338495,-68.91,2581704,0.41,1.36,14.4827,78.1041,2.27,1.22,1311,福聚,5268317,4080564,29.11,85696,407649,53540
1312,-192178,1239664,139882,786.22,6470825,1.92,0.22,12.2184,58.0699,1.77,1.19,1312,國喬,7227557,4346952,66.27,972481,337292,249910
1313,424001,185742,438755,-57.67,6814497,0.27,0.71,12.3188,62.2071,4.53,2.81,1313,聯成,2501925,2399129,4.28,30513,31261,162417
1314,-150974,1199084,-524528,,14828689,0.81,-0.37,13.249,35.9941,0.66,0.34,1314,中石化,13689275,7657886,78.76,787717,-570861,166685
