stock,94年1-6月,稅後純益,94年1-6月,增減(%),期末股本,稅後純益,94年1-6月,每股淨值,淨值占總資產(%)(B),流動比率,速動比率,公司,,營業收入,94年1-6月,增減(%),營業利益,94年1-6月,營業外
01,4920527,9964213,7227236,37.87,86757587,1.15,0.88,19.2040068266995,65.4468265489445,1.52142912380342,0.939385466663388,01,水泥類,24785264,24650868,0.55,3220257,2771075,6800037
1101,2739309,2502949,3594740,-30.37,32360980,0.81,1.25,19.05,61.6585,2.34,1.59,1101,台泥,12544815,12270475,2.24,1466070,1159505,1210744
1102,2534814,3694331,3354346,10.14,25321211,1.57,1.43,22.73,69.7227,1.31,0.9,1102,亞泥,5339500,5376693,-0.69,1185140,1010155,2816940
1103,-310331,2385333,-249442,,6745261,4.68,-0.47,26.01,72.1173,1.67,1.16,1103,嘉泥,1283579,1354456,-5.23,76873,75869,2267236
1104,70867,415881,405291,2.61,5091496,0.82,0.79,22.44,70.4421,3.22,1.35,1104,環泥,1533433,1566058,-2.08,-32768,8420,199936
1107,-154058,103983,-306072,,3140353,0.33,-0.97,1.43,6.1988,0.15,0.01,1107,建台,51117,82851,-38.3,-68242,-77265,172225
1108,-16116,216783,103940,108.57,4047380,0.54,0.26,10.92,58.397,0.9,0.43,1108,幸福,1967792,1996610,-1.44,212190,211033,2899
1109,26652,482733,151631,218.36,4290898,1.13,0.35,14.15,87.1743,5.46,2.29,1109,信大,1130866,1013065,11.63,243097,203298,71505
1110,29390,162220,172802,-6.12,5760008,0.28,0.3,14.4,82.9632,2.05,0.93,1110,東泥,934162,990660,-5.7,137897,180060,58552
02,-513326,2778501,1358228,104.57,88140464,0.32,0.15,12.4374538738702,54.5232993500343,1.14750600130553,0.544271490180613,02,食品類,65402865,64780024,0.96,1927343,2193893,1126621
1201,-138054,199194,135213,47.32,5060629,0.39,0.27,7.64,36.0569,1.04,0.69,1201,味全,4910771,4463461,10.02,282825,274047,-62158
1203,-138549,-85583,-124028,,2092537,-0.41,-0.6,15.63,64.2146,1.38,0.33,1203,味王,811795,847394,-4.2,30777,33909,-111996
1207,-798557,-816269,-1253297,,7320098,-1.12,-1.71,5.01,15.4293,0.58,0.06,1207,嘉食化,3783330,3773970,0.25,-572720,-472534,-263549
1210,-79369,296875,321446,-7.64,4020278,0.84,0.92,14.9,56.8562,1.3,0.65,1210,大成,7186060,7827952,-8.2,254821,493648,136454
1213,-589,-2654,926,,514751,-0.06,0.02,13.38,75.0046,2.71,2.09,1213,大飲,348394,318989,9.22,2316,4253,-3407
1215,26862,78052,23953,225.85,2320268,0.34,0.1,10.57,78.4893,3.09,1.66,1215,卜蜂,4102479,5038105,-18.57,79207,-1475,-4734
1216,638403,2073896,1176608,76.26,33541258,0.62,0.35,13.03,55.5587,1.02,0.61,1216,統一,20314662,18661487,8.86,831689,572919,1258960
1217,-50724,18042,72069,-74.97,3708261,0.05,0.19,10.96,45.3166,1.09,0.46,1217,愛之味,2084331,1980137,5.26,97401,130350,-93210
1218,-107705,-84229,-89117,,3202434,-0.28,-0.31,10.93,45.8257,1.3,0.67,1218,泰山,2193042,2254479,-2.73,41147,32918,-93693
1219,-65093,46654,11216,315.96,2722294,0.17,0.04,12.56,66.5661,2.92,1.76,1219,福壽,2586872,2656504,-2.62,52920,85017,7457
1220,-496,70227,-2096,,1770779,0.4,-0.01,9.78,70.6377,2.12,1.16,1220,台榮,1094327,1082729,1.07,16315,-5342,3456
