stock,稅後純益,102年1-9月,增減(%),期末股本,稅後純益,102年1-9月,每股淨值,淨值佔總資產,流動比率,速動比率,稅前純益,102年1-9月,增減(%),公司,,營業收入,102年1-9月,增減(%),營業利益,102年1-9月,營業外,102年1-9月
01,17343610,15345553,13.02,98441609,1.15,0.96,30.15,47.3889532527003,1.13743294531237,0.897815610505759,27770569,23044518,20.51,01,水泥類,161827114,146994414,10.09,21780354,16429202,5990215,6615316
1101,8244719,7594015,8.57,36921759,2.23,2.06,30.2,39.4519269800919,1.13370853080719,0.939765580012127,15933466,13467984,18.31,1101,台泥,88684641,82891070,6.99,15166705,12526355,766761,941629
1102,7198698,6274339,14.73,33614472,2.29,2,39.81,50.6904199731538,0.957540455043846,0.771368368373676,9614314,8088518,18.86,1102,亞泥,57234891,49722594,15.11,5890621,3668112,3723693,4420406
1103,150116,237079,-36.68,7768285,0.23,0.37,26.65,50.7352075893264,2.08385219607741,1.50832482652894,222931,187124,19.14,1103,嘉泥,2818004,2738060,2.92,-207081,-349186,430012,536310
1104,1045732,754850,38.54,6159697,1.7,1.22,24.37,80.8495240803699,1.32690068340609,1.09434164365315,1114236,779028,43.03,1104,環泥,4242326,3760641,12.81,131024,66157,983212,712871
1108,305953,171007,78.91,4047380,0.76,0.42,11.12,53.5100580604137,2.64185361475224,0.648244586476603,359317,205238,75.07,1108,幸福,3732290,3521208,5.99,343590,253500,15727,-48262
1109,230666,127657,80.69,4210008,0.55,0.3,13.95,64.5174679114288,1.44503710730055,0.879556026123183,356615,144843,146.21,1109,信大,3629205,2911968,24.63,360120,107161,-3505,37682
1110,167726,186606,-10.12,5720008,0.29,0.33,15.56,91.9132010059872,5.7781075817608,3.70626552951447,169690,171783,-1.22,1110,東泥,1485757,1448873,2.55,95375,157103,74315,14680
02,16796536,16853439,-0.34,118279487,1.24,0.95,17.52,32.5652399063025,1.1279279145055,0.631313308485836,28314191,29694699,-4.65,02,食品類,526235759,522438165,0.73,22585302,21391596,5728889,8303103
1201,375283,832048,-54.9,5060629,0.74,1.64,16.61,21.1227174211357,1.13932960728226,0.358473005439422,573245,1079823,-46.91,1201,味全,21764292,22540133,-3.44,987289,1124107,-414044,-44284
1203,194717,258761,-24.75,2400000,0.82,1.09,17.73,51.0650280246938,2.14190572488984,0.908059846512969,397410,415133,-4.27,1203,味王,4514173,4662513,-3.18,399797,364607,-2387,50526
1210,1167119,610112,91.3,7363944,1.71,1.16,19.84,33.1949772007665,1.30910619921259,0.562709371873583,1556824,833167,86.86,1210,大成,67482423,65599619,2.87,1078822,533474,478002,299693
1213,18317,24707,-25.86,514751,0.36,0.48,13.02,76.1503546808554,2.62695378322158,2.4178684733472,24335,30144,-19.27,1213,大飲,567749,591595,-4.03,19247,27561,5088,2583
1215,550008,247527,122.2,2436282,2.26,1.02,21,54.4918757710356,1.28394637217555,0.64651649085674,713489,313267,127.76,1215,卜蜂,13008758,13404792,-2.95,676863,284352,36626,28915
1216,9197606,10976532,-16.21,54634763,1.68,2.01,16.08,22.238682397647,0.952863695721846,0.553921405989521,18612360,21414289,-13.08,1216,統一,327273397,325527671,0.54,15410344,15074940,3202016,6339349
1217,-314548,-81115,,4976893,-0.65,-0.17,10.97,37.7707776516716,0.853142548849429,0.655770214163402,-337841,-65612,,1217,愛之味,3509907,3564792,-1.54,-264858,56774,-72983,-122386
1218,74833,73123,2.34,3533360,0.22,0.22,9.98,38.9782135870647,1.42565477103358,0.989900266352844,82551,90709,-8.99,1218,泰山,7062840,7221061,-2.19,-63979,-129285,146530,219994
1219,53894,-38035,,3131882,0.17,-0.12,11.89,62.1036963334096,3.56302416404359,2.0229387391054,60005,-46234,,1219,福壽,7803616,7727851,0.98,30268,-71627,29737,25393
