stock,稅後純益,103年1-3月,增減,期末股本,稅後純益,103年1-3月,每股淨值,淨值佔總資產,流動比率,速動比率,稅前純益,103年1-3月,增減,公司,,營業收入,103年1-3月,增減,營業利益,103年1-3月,營業外,103年1-3月
01,2555409,3699931,-30.93,98441609,0.19,0.26,32.32,48.4479038279342,1.32228229824609,1.05949588891681,3600975,6059169,-40.57,01,水泥類,41519581,48277989,-14,2821040,5625744,779935,433425
1101,808778,1833139,-55.88,36921759,0.22,0.5,32.04,40.8263301723858,1.32899230694032,1.09303860608626,1469867,3550846,-58.61,1101,台泥,21440142,26716227,-19.75,1693508,3684224,-223641,-133378
1102,1468473,1439813,1.99,33614472,0.47,0.46,43.88,51.2833933688235,1.12045801283252,0.93414219017657,1844700,2014079,-8.41,1102,亞泥,15362530,16256080,-5.5,1037375,1637619,807325,376460
1103,-187780,-39384,,7768285,-0.29,-0.06,25.92,51.3599521138218,3.4467519749226,2.57946804477412,-209547,-41789,,1103,嘉泥,671355,1019429,-34.14,-185767,-42587,-23780,798
1104,263305,239661,9.87,6159697,0.43,0.39,25.9,80.9232204985868,1.1479508177106,0.923258207019341,269734,251967,7.05,1104,環泥,1327430,1379161,-3.75,24580,47354,245154,204613
1108,156298,73015,114.06,4047380,0.39,0.18,11.72,57.7760786609855,2.54826300016901,0.675259240254818,186946,86379,116.43,1108,幸福,1290902,1219347,5.87,198438,102969,-11492,-16590
1109,10502,85720,-87.75,4210008,0.02,0.2,14.16,65.7619845767679,3.45095796434551,2.12418919203513,7834,135997,-94.24,1109,信大,951789,1192024,-20.15,20166,141243,-12332,-5246
1110,35833,67967,-47.28,5720008,0.06,0.12,15.65,92.4339940516596,7.74316188554599,4.77013196218494,31441,61690,-49.03,1110,東泥,475433,495721,-4.09,32740,54922,-1299,6768
02,6575496,7058451,-6.84,118249147,0.42,0.47,18.51,33.5714703778713,1.15805294149136,0.630467704366946,11305409,11226887,0.7,02,食品類,166192438,170282252,-2.4,8805058,7828156,2500351,3398731
1201,-293436,254496,,5060629,-0.58,0.5,14.85,19.4821345328862,0.955549150336166,0.238209295361216,-362603,320712,,1201,味全,4742993,6611781,-28.26,-305420,395127,-57183,-74415
1203,118298,85357,38.59,2400000,0.5,0.36,18.57,53.1772802139639,2.81563649751468,1.44365641273052,256886,176235,45.76,1203,味王,1654449,1498954,10.37,184677,177191,72209,-956
1210,158238,356947,-55.67,7363944,0.23,0.52,20.69,34.0991991070592,1.36365659197598,0.554087338580284,183073,473345,-61.32,1210,大成,20079300,21742705,-7.65,212731,425758,-29658,47587
1213,11069,3780,192.83,514751,0.22,0.07,13.08,79.7870638630668,3.17938784585353,2.90087353688225,13595,6663,104.04,1213,大飲,182697,166032,10.04,12484,5729,1111,934
1215,174847,202586,-13.69,2436282,0.72,0.83,21.02,54.6931020945554,1.33735904679575,0.560527789452569,221016,248479,-11.05,1215,卜蜂,4008464,4158339,-3.6,216629,239762,4387,8717
1216,4299459,4161367,3.32,54634763,0.79,0.76,17.52,23.4784101732051,0.979631994051507,0.546915372892189,8369130,7665550,9.18,1216,統一,104940238,107115302,-2.03,6277894,5174359,2091236,2491191
1217,-63155,-135633,,4872053,-0.13,-0.28,10.78,38.4882024957507,0.883189934433118,0.605218077332985,-79451,-168017,,1217,愛之味,1016187,853255,19.1,-75525,-148287,-3926,-19730
1218,-9803,24000,,3533360,-0.03,0.07,9.81,43.0173076923077,1.04087513456078,0.708128670674921,-9255,26116,,1218,泰山,1982171,2100231,-5.62,-25419,-18805,16164,44921
1219,22504,43755,-48.57,3131882,0.07,0.14,12.16,58.335092189057,2.79660187272291,1.46383807963152,26381,51159,-48.43,1219,福壽,2325248,2459447,-5.46,21954,38263,4427,12896
1220,-1573,21153,,1770779,-0.01,0.12,11.88,69.7727904340634,3.80042356649339,2.40806086336904,-4898,28038,,1220,台榮,837271,752609,11.25,-12725,26889,7827,1149
1225,31588,35292,-10.5,2187030,0.14,0.18,12.15,43.5543277782787,1.82580268209894,1.04252892070795,39898,47982,-16.85,1225,福懋油,2718613,2937279,-7.44,49853,60488,-9955,-12506
1227,912101,539088,69.19,7206338,1.27,0.75,17.9,69.5059595261118,2.7349542945746,1.83248753087689,1214732,656178,85.12,1227,佳格,7183052,5307080,35.35,1196898,650833,17834,5345
1229,281506,666867,-57.79,8545383,0.33,0.78,25.11,83.4633776474279,1.06475639886329,0.671355943789611,288830,677098,-57.34,1229,聯華,1253789,1245028,0.7,52351,51803,236479,625295
1231,98452,25917,279.87,1481131,0.66,0.17,18.16,42.504548692018,1.54830819663799,0.826497507507126,118110,23641,399.6,1231,聯華食,1677670,1290135,30.04,114119,10622,3991,13019
1232,241953,289066,-16.3,1599749,1.51,1.81,23.63,78.3592128888956,4.68073564113168,2.12310444803694,293744,350919,-16.29,1232,大統益,4750989,5526932,-14.04,292949,310921,795,39998
1233,60104,83060,-27.64,905919,0.66,0.92,16.48,76.5633804551655,2.33817437264892,1.45486405409266,72792,100281,-27.41,1233,天仁,565923,556674,1.66,71067,88570,1725,11711
1234,123028,64286,91.38,4018711,0.31,0.16,43.58,80.8985149953292,4.74430434410076,3.89833947390969,147829,84454,75.04,1234,黑松,1331189,1269748,4.84,-39248,-54992,187077,139446
1235,-192,27812,,561688,(<<<<<),0.51,23.74,51.5836049092012,1.6227785907514,1.5553457715391,-48,27664,,1235,興泰,22330,37669,-40.72,-4226,-3888,4178,31552
1236,73060,23243,214.33,1083425,0.67,0.21,17.44,60.8485782584991,1.38476392144129,0.897690943226116,87374,32404,169.64,1236,宏亞,705960,661979,6.64,87072,26625,302,5779
1702,289175,209263,38.19,2941330,1.17,0.84,21.46,30.7721812311092,1.44710697202128,1.09429465737921,368199,310955,18.41,1702,南僑,3574556,3362458,6.31,398732,329388,-30533,-18433
1737,48273,76749,-37.1,2000000,0.24,0.38,29.37,86.0940294801181,6.06959721751116,4.94516321816802,60075,87031,-30.97,1737,臺鹽,639349,628615,1.71,78211,41800,-18136,45231
03,15236788,23655802,-35.59,304918240,0.38,0.47,36.08,58.3005030812584,2.59414133086724,2.0115817409666,19796578,27588365,-28.24,03,塑膠類,275960887,308154592,-10.45,14746139,7291633,5050439,20296732
1301,3643685,7182974,-49.27,63657408,0.57,1.13,45.82,66.9721171488499,3.42042669729096,2.92292624134327,4451984,7973520,-44.17,1301,台塑,47697112,51989871,-8.26,2938983,1089369,1513001,6884151
1303,7950168,9328745,-14.78,79308216,1,1.18,40.69,60.5183143231137,3.04837490226208,2.34600461116757,9817972,10445075,-6,1303,南亞,79525772,77473959,2.65,6523855,2574974,3294117,7870101
1304,187745,140727,33.41,11426024,0.18,0.14,16.85,29.3301824630588,2.11895721630155,1.5734826064167,461549,253299,82.22,1304,台聚,13066416,13711750,-4.71,420725,287705,40824,-34406
1305,161693,154040,4.97,4683034,0.35,0.33,12.73,51.1648158730052,2.21965615496037,1.54329341490182,205086,194301,5.55,1305,華夏,3661067,3528563,3.76,216458,176432,-11372,17869
1307,284407,264750,7.42,3749817,0.76,0.71,21.38,58.0763025388121,2.50609643948491,1.83708298409579,348726,305902,14,1307,三芳,2971584,2825940,5.15,380417,278560,-31691,27342
1308,121311,105176,15.34,4696769,0.26,0.22,19.23,91.1909739997333,5.16894971928113,3.58267290273832,141255,127286,10.97,1308,亞聚,1230665,1344360,-8.46,79843,110825,61412,16461
1309,82198,-212860,,3276518,0.25,-0.65,10.7,34.0996072800224,1.41477599197803,0.941478926487828,73714,-220346,,1309,台達化,4075100,4363504,-6.61,84933,-173302,-11219,-47044
1310,27115,12550,116.06,5278698,0.05,0.02,10.37,54.8531722871678,1.26260133673055,0.937660160863528,43753,15788,177.13,1310,台苯,2268323,5258276,-56.86,59554,6361,-15801,9427
1312,292522,131043,123.23,9266203,0.32,0.14,17.32,65.2311896662845,1.94306393773012,1.04664659049396,387200,193624,99.98,1312,國喬,5008775,6201713,-19.24,316490,185530,70710,8094
1313,87486,-161020,,11652110,0.08,-0.14,16.17,44.0878598166062,1.52617169734888,1.01252405689357,108037,-223211,,1313,聯成,10934995,13147837,-16.83,103055,-72778,4982,-150433
1314,183688,-209832,,23199897,0.08,-0.09,22.99,70.0280206375261,3.77727482142116,3.01068733581428,192950,-193925,,1314,中石化,7398603,9122934,-18.9,-139755,-160306,332705,-33619
1315,6204,105,5808.57,1980000,0.03,<<<<<,38.16,78.3354498226387,4.3771959115174,3.50475392347755,6542,1296,404.78,1315,達新,638625,631838,1.07,10636,-13691,-4094,14987
1319,412748,396856,4,5914771,0.7,0.67,29.23,49.6999420114331,1.14904197393636,0.739549159226782,502207,480618,4.49,1319,東陽,5612549,5200849,7.92,481479,340709,20728,139909
1321,4225,1446,192.19,2272283,0.02,0.01,22.48,49.1611504556405,1.35594628842486,0.821356278351145,4224,1446,192.12,1321,大洋,1278856,1291037,-0.94,-11423,-18977,15647,20423
1323,47353,59005,-19.75,912745,0.52,0.65,19.34,46.2953704390344,3.50475628350794,2.10631056022822,85869,105231,-18.4,1323,永裕,754527,823477,-8.37,94387,99630,-8518,5601
1324,6902,15150,-54.44,751219,0.09,0.2,12.82,73.5925069214081,3.49144010798573,2.66406556943413,11574,18515,-37.49,1324,地球,315831,376564,-16.13,10579,14278,995,4237
