year&season,公司,期末股本,每股淨值,流動比率,淨值佔總資產,營業利益,營業外,營業收入,稅後純益,速動比率,稅前純益
200001, 1234 黑松      ,5000000,15.31,4.29,67.16,78497,23330,868354,80827,3.45,
200002,1234,5250000.0,14.1788,2.31,64.0963,188194.0,5709.0,1926936,132403,1.92,
200003,1234,5250000,14.5816,2.93,66.2347,434501,34380,3194879,343881,2.39,
200004,1234,5250000,14.6565,3.46,67.3677,480689,5820,4034377,382409,2.83,
200101,1234,5250000,14.7392,2.78,66.9119,38344,17768,812157,43412,2.18,
200102,1234,5358281,14.0787,1.67,64.4271,111486,-1363,1777613,68923,1.34,
200103,1234,5358281,14.3643,2.11,65.8639,311784,2538,3039007,221972,1.66,
200104,1234,5358281,14.4324,1.91,65.9372,373669,-13007,3784123,258462,1.53,
200201,1234,5358281,14.5652,2.17,66.0969,73495,33059,764613,71904,1.8,
200202,1234.0,5358281,14.2664,1.72,63.7176,146658.0,72402.0,1651900.0,135060,1.48,
200203,1234.0,5358281.0,14.6056,2.21,65.1687,324924.0,136924.0,2933127.0,316848,1.91,
200204,1234.0,5358281,14.6455,2.73,65.9589,261559.0,206652.0,3661299.0,338211,2.31,
200301,1234.0,5358281,14.7311,2.66,66.1436,16555.0,47295.0,756028.0,45850,2.22,
200302,1234.0,5358281,14.3784,1.9,64.1574,44534.0,87561.0,1670498.0,81095,1.59,
200303,1234.0,5358281,14.7204,2.13,65.1065,292893.0,96917.0,3107754.0,271810,1.7,
200304,1234.0,5358281,14.7425,2.06,66.09899999999999,236487.0,155942.0,3903261.0,281429,1.67,
200401,1234.0,5358281,14.7699,2.55,66.643,50625.0,-8563.0,815400.0,27062,2.1,
200402,1234.0,5358281,14.4069,1.86,64.1243,106108.0,-23236.0,1698799.0,45872,1.58,
200403,1234.0,5358281,14.5798,2.34,79.1795,267896.0,-65682.0,2874913.0,134214,1.96,
200404,1234.0,5358281,16.2,3.08,82.7174,197861.0,-79784.0,3512958.0,43077,2.52,
200501,1234.0,5358281,17.28,3.39,86.9785,-3886.0,7731.0,615225.0,5265,2.69,
200502,1234.0,5358281,17.04,1.95,84.0537,30877.0,-19302.0,1526362.0,-14425,1.53,
200503,1234.0,5358281,17.39,2.48,85.166,204905.0,2206.0,2710708.0,143111,2.0,
200504,1234.0,5358281.25,17.3,2.44,,180745.0,-37173.0,3363203.0,97572,1.86,
200601,1234.0,5358281,17.3027,2.78,87.6598,-1603.0,-1569.0,721177.0,1828,1.71,
200602,1234.0,5358281,17.09,2.18,,32092.0,6742,1610937.0,27294,1.5,
200603,1234.0,5358281.0,17.31,2.78,87.4961,124727.0,36137,2652694.0,131864.0,1.78,
200604,1234,5358281.0,17.27,3.45,88.2003,53521.0,74936,3203507.0,113507.0,1.97,
200701,1234,5358281.0,17.39,3.94,88.5755,21171.0,57351,683043.0,54022.0,2.21,
200702,1234,5358281.0,17.27,2.6,,24026.0,125987,1516761.0,96013.0,1.39,
200703,1234,5358281.0,17.52,3.01,,164970.0,172874,2553867.0,245844.0,1.95,
200704,1234,5358281.0,17.38,3.53,88.5909,89161.0,140727,3096925.0,149888.0,2.8761,
200801,1234,5358281.0,17.4297,3.35,88.443,-19414.0,59467,715633.0,34104.0,2.56,
200802,1234,5358281,17.26,2.34,85.7773,-23354,125315,1640019,86161,1.83,
200803,1234,5358281,17.53,2.76,87.8016,84221,158332,2721253,199053,2.14,
200804,1234,5358281,17.55,3.33,88.9877,63032,188976,3403641,206508,2.5637000000000003,
200901,1234,5358281,17.69,3.58,89.0792,21457,47511,751759,57968,2.71,
200902,1234,5358281,17.48,2.23,84.9972,65054,90065,1803203,114719,1.75,
200903,1234,5358281,17.83,2.61,86.0982,232717,167889,3190224,314106,2.12,
200904,1234,5358281,17.85,3.1668000000000003,87.5214,209170,200024,4004152,321194,2.4665,
201001,1234,5358281,17.97,3.31,87.5486,26310,46864,973865,62974,2.63,
201002,1234,5358281,17.64,2.37,84.5473,30414,121518,2017046,122732,1.97,
201003,1234,5358281,18.02,3.11,86.6593,212890,176114,3381750,326804,2.58,
201004,1234,5358281,18.17,3.6327999999999996,87.9275,157638,227389,4414196,330827,2.6109,
201101,1234,5358281,18.29,3.92,88.1695,22157,49114.0,1415632,64171,2.9,
201102,1234,5358281,17.98,2.49,84.5146,59796,122112,2770943,165708,1.77,
201103,1234,5358281,18.37,3.22,86.4593,241119,158764,4231161,359283,1.88,
201104,1234,5358281,23.96,3.836,88.8088,208506,220130,5416822,392336,2.0627,
201201,1234,5358281,24.07,3.98,88.8637,27922,49190,1409571,57812,2.05,
201202,1234,5358281,23.66,2.5,85.7469,84669,111356,2640375,161325,1.28,
201203,1234,5358281,24.02,2.43,85.4614,318390,117752,4332151,359942,1.11,
201204,1234,5358281,37.86,3.0457,91.943,229915,7946709,5658957,8113524,1.3171,
201301,1234,5358281,37.96,6.86785477927732,82.288204792397,4782,123041,1574855,102664,5.8543814823778,
201302,1234,5358281,34.5,3.23120133037345,74.7216613878077,-31775,254558,3193569,-416140,2.64002591212829,
201303,1234,4018711,43.26,2.81355367668042,73.72010110222321,126208,388174,5321800,-177160,2.09807298601388,
201304,1234,4018711,44.23,4.49206025697352,79.92415736728029,105454,869957,6537718,312119,3.39500497158212,
201401,1234,4018711,44.38,4.37692143405201,79.86445907687109,-54992,139446,1269748,64286,3.41202865572785,
201402,1234,4018711,42.52,2.75393699804122,75.96122999424401,-109102,263388,2704498,118406,2.11471936691202,
201403,1234,4018711,43.0,3.86534552190376,79.4615220112038,33129,361222,4688910,313833,2.97960262509831,394351.0
