year&season,公司,期末股本,每股淨值,流動比率,淨值佔總資產,營業利益,營業外,營業收入,稅後純益,速動比率
200103,2470.0,1213000.0,16.3306,2.14,37.1401,211535.0,-112906.0,5706942.0,81446.0,1.2
200104,2470.0,1213000.0,16.1998,2.34,39.5211,264316.0,-141523.0,8352861.0,97260.0,1.43
200201,2470.0,1232879.0,17.0042,2.7,44.2332,108363.0,-28341.0,2627450.0,62175.0,1.65
200202,2470.0,1317915.0,15.8432,2.37,39.0424,186765.0,-62806.0,5057849.0,80204.0,1.31
200203,2470.0,1318275.0,16.4853,2.44,40.512,309561.0,-99601.0,7837315.0,148674.0,1.42
200204,2470.0,1318275.0,16.9414,2.37,38.7948,405385.0,-104163.0,10884485.0,218222.0,1.36
200301,2470.0,1318275.0,17.7469,2.09,40.047,133932.0,-26365.0,3418955.0,85466.0,1.19
200302,2470.0,1419371.0,16.1501,3.21,40.4488,227026.0,-54038.0,6269918.0,139517.0,1.57
200303,2470.0,1420295.0,16.7215,2.91,39.5843,343243.0,-57804.0,10026448.0,234424.0,1.65
200304,2470.0,1421556.0,17.4965,2.8,41.2779,543439.0,-138651.0,13698192.0,331502.0,1.56
200401,2470.0,1429959.0,18.1883,2.4,38.9686,144097.0,1200.0,3328418.0,116489.0,1.26
200402,2470.0,1637554.0,16.1152,1.58,33.8218,314859.0,-17772.0,7253699.0,233084.0,0.85
200403,2470.0,1637554.0,16.7734,1.95,38.753,382726.0,17208.0,10926117.0,334203.0,0.94
200404,2470.0,1637554.0,16.01,1.78,40.1496,416484.0,-115536.0,14534576.0,264089.0,0.88
200501,2470.0,1641414.0,15.66,1.81,38.9713,67482.0,-20586.0,3223569.0,43404.0,0.96
200502,2470.0,1748799.0,15.79,1.76,35.674,153232.0,-38052.0,6600279.0,85809.0,0.86
200503,2470.0,1688799.0,15.8038,1.87,36.7836,296489.0,-38173.0,10421553.0,207399.0,1.0
