year&season,公司,期末股本,每股淨值,流動比率,營業利益,營業外,營業收入,稅後純益,速動比率,淨值佔總資產
200504,3367.0,3330000.0,33.75,1.29,1625350.0,1830470.0,113405994.0,2990165.0,1.11,
200601,3367.0,3330000.0,35.42,1.67,219324.0,478014.0,24659115.0,573460.0,1.31,54.0342
200602,3367.0,4359000.0,31.33,1.38,534909.0,950954,42843217.0,1243579.0,1.11,
200603,3367.0,4359000.0,24.73,1.19,-96596.0,1990826,64419510.0,1587979.0,0.93,39.5709
200604,3367,4359000.0,25.93,1.15,-31226.0,2680926,95654971.0,2059073.0,1.01,37.1298
200701,3367,4359000.0,27.56,1.35,14447.0,673109,14305076.0,556519.0,1.09,57.7979
200702,3367,4617000.0,26.32,1.24,298964.0,1504226,31486675.0,1581026.0,0.96,
200703,3367,4617000.0,26.64,1.25,802710.0,2142243,50247888.0,2375580.0,1.06,
200704,3367,4617000.0,28.82,1.42,946072.0,2633571,79367335.0,3248932.0,1.3374000000000001,49.0186
200801,3367,4617000.0,29.63,1.87,475357.0,151304,17532116.0,520273.0,1.66,65.5201
200802,3367,5120000.0,26.15,1.33,814484.0,671628,34856173.0,1419919.0,1.24,49.0604
200803,3367,5120000.0,25.88,1.3,1319022.0,1014310,52229247.0,2127682.0,1.17,52.2307
200804,3367,5120000.0,26.16,1.73,1496435.0,912871,62566218.0,2194099.0,1.5411,69.9327
200901,3367,5120000.0,26.73,1.82,-28209.0,56333,6381022.0,22191.0,1.63,71.8875
200902,3367,5376000.0,23.58,1.37,248548.0,-213556,12856233.0,185599.0,1.25,63.2187
200903,3367,5376000.0,22.3,1.37,736381.0,-637611,23892127.0,228948.0,1.29,59.8535
200904,3367,5376000.0,22.57,1.2515,947351.0,-641998,44153005.0,422302.0,1.1782,50.077
201001,3367,5376000.0,22.47,1.66,191658.0,-143223,9269469.0,38580.0,1.46,70.0923
201002,3367,5376000.0,22.02,1.43,497979.0,-245298,19295653.0,268474.0,1.3,63.7498
201003,3367,5376000.0,22.17,1.69,911310.0,-495377,29443457.0,376374.0,1.48,69.833
201004,3367,5376000.0,21.83,1.3798,1313388.0,-670099,43798338.0,564031.0,1.2946000000000002,57.9527
201101,3367,5376000.0,21.99,1.61,322193.0,-249376.0,7208390.0,62381.0,1.52,67.4974
201102,3367,5376000.0,21.11,1.49,473184.0,-281677,15637546.0,157048.0,1.4,64.0214
