year&season,公司,期末股本,每股淨值,流動比率,營業利益,營業外,營業收入,稅後純益,速動比率,淨值佔總資產,稅前純益
200702,3545.0,1157449.0,13.7,2.58,104667.0,-18142,1631295.0,74203.0,1.85,,
200703,3545.0,1235220.0,16.44,3.68,251835.0,-28558,2744188.0,201754.0,1.83,,
200704,3545.0,1235220.0,17.42,3.63,386241.0,-38940,3968837.0,322788.0,2.6013,71.6169,
200801,3545.0,1235220.0,17.95,3.87,95366.0,-29647,1158042.0,65371.0,2.59,73.282,
200802,3545.0,1307981.0,17.09,3.53,157418.0,-30036,2367698.0,111362.0,2.51,70.8858,
200803,3545.0,1307981.0,17.13,3.14,269141.0,1454,3798287.0,241782.0,2.19,67.3462,
200804,3545.0,1312156.0,17.31,6.74,298641.0,7202,4567214.0,265447.0,4.2074,83.7906,
200901,3545.0,1325601.0,17.6,6.05,9763.0,19236,643702.0,41909.0,4.28,82.2466,
200902,3545.0,1331571.0,17.04,2.92,130936.0,5044,1854996.0,126931.0,2.1,65.2724,
200903,3545.0,1343306.0,17.97,3.51,275000.0,-5849,3304628.0,237354.0,2.37,70.85300000000001,
200904,3545.0,1351329.0,18.45,4.4696,341158.0,-10951,4454232.0,299359.0,3.2437,76.7747,
201001,3545.0,1358181.0,19.19,4,115172.0,-3725,1210521.0,100408.0,2.96,74.1143,
201002,3545.0,1360396.0,18.46,2.71,290526.0,3156,2644500.0,256900.0,1.93,62.5011,
201003,3545.0,1365321.0,19.81,3.26,505663.0,-10555,4252748.0,436669.0,2.1,68.6629,
201004,3545.0,1366679.0,20.17,3.9019,614503.0,-68745,5572256.0,485290.0,2.5586,73.6041,
201101,3545.0,1375061.0,20.71,4.22,70204.0,9216.0,1168018.0,77303.0,2.78,75.5528,
201102,3545.0,1378206.0,18.09,3.34,115780.0,-6987,2239873.0,96730.0,2.28,69.5427,
201103,3545.0,1381094.0,18.32,3.98,129577.0,12641,3278073.0,126231.0,2.6,74.1142,
201104,3545.0,1381276.0,18.4,5.4073,144927.0,5925,4165468.0,136389.0,3.5821,80.2492,
201201,3545.0,1383454.0,18.48,5.31,31608.0,-18088,787086.0,11670.0,3.53,79.9333,
201202,3545.0,1384584.0,17.85,3.19,51645.0,-12371,1743174.0,34772.0,1.98,68.0635,
201203,3545.0,1386219.0,18.04,4.1,94328.0,-24295,3110653.0,60856.0,2.28,73.9187,
201204,3545.0,1387194.0,18.5,2.6516,167812.0,-23544,5006666.0,123294.0,1.4254,61.1314,
201301,3545.0,1390476.0,19.06,2.12212778191731,83961.0,14544,1965460.0,81363.0,1.11718319852845,52.0144769188746,
201302,3545.0,1391599.0,20.48,2.28804368022704,339486.0,23586,4890385.0,308027.0,1.3608886757057,42.062411552644896,
201303,3545.0,1392265.0,21.28,2.46314878866625,480964.0,6870,7205683.0,412653.0,1.11586934738583,44.5472605132775,
201304,3545.0,1402085.0,20.84,2.64828820110661,431662.0,10172,9362444.0,363725.0,1.1345718047014,46.2768883129051,
201401,3545.0,1401355.0,21.97,2.66686733473397,150168.0,19247,2611572.0,147032.0,1.30563013881189,47.0968896639552,
201402,3545.0,1400945.0,20.91,2.23428302475181,313781.0,-3359,5707014.0,268937.0,1.17309580631527,41.3317125919834,
201403,3545.0,1400495.0,20.45,2.51027897278052,229639.0,2128,7919498.0,197555.0,1.18696080346712,44.4651180267807,231767.0
201404,3545.0,1400495.0,20.1,3.2653155628725803,139538.0,39679.0,9892675.0,144451.0,1.7212485960584,50.6273353855076,179217.0
201501,3545.0,4173658.0,29.56,5.533157767752679,-145814.0,95432.0,2429145.0,-55555.0,1.9572369589067302,77.44119716335891,-50382.0
201502,3545.0,4175831.0,29.21,4.62829726845235,-117174.0,122783.0,5631636.0,7471.0,1.71675730767295,75.6446376631135,5609.0
201503,3545.0,2928707.0,39.38,3.69232331121591,-166332.0,357796,8531311.0,207126.0,1.4152891695726,71.4234355487239,191464.0
201504,3545.0,2933299.0,39.4,3.48028473477056,-153047.0,394744,11479739.0,235822.0,1.03887336623518,76.0803279090021,241697.0
201601,3545.0,2942136.0,38.65,3.6207361894825,-90185.0,-11992,2308567.0,-96545.0,1.15054414264782,77.32665982848691,-102177.0
201602,3545.0,2942938.0,38.35,3.52503030642496,-10088.0,-13871,5268556.0,-30552.0,1.4498820416595,76.9704353619396,-23959.0
