date,adj_close,close,high,low,open,volume
2009-02-27,10.9442,18.5,19.5,18.4,18.5,6313400
2009-03-02,9.7019,16.4,18.5,16.3,18.5,2215700
2009-03-03,9.1103,15.4,16.2,14.9,16.0,1935900
2009-03-04,9.3469,15.8,16.1,15.4,15.4,979900
2009-03-05,9.2286,15.6,16.15,15.6,16.0,1121300
2009-03-06,9.0511,15.3,15.5,15.1,15.5,917900
2009-03-09,9.0807,15.35,15.6,15.1,15.5,669900
2009-03-10,9.1695,15.5,15.7,15.35,15.35,640400
2009-03-11,9.4948,16.05,16.1,15.6,15.8,1234200
2009-03-12,9.3469,15.8,16.2,15.8,16.1,543300
2009-03-13,9.4653,16.0,16.3,15.9,16.0,870700
2009-03-16,9.8794,16.7,17.05,16.0,16.1,1141000
2009-03-17,9.7019,16.4,16.8,16.2,16.8,741000
2009-03-18,9.8794,16.7,16.85,16.5,16.5,987700
2009-03-19,9.7019,16.4,16.95,16.4,16.9,1207800
2009-03-20,9.7019,16.4,16.7,16.25,16.5,535900
2009-03-23,10.0272,16.95,17.1,16.45,16.6,583100
2009-03-24,10.5301,17.8,17.85,17.0,17.2,964800
2009-03-25,10.4118,17.6,17.8,17.5,17.8,847100
2009-03-26,10.3822,17.55,17.8,17.5,17.6,804400
2009-03-27,10.6188,17.95,18.35,17.8,17.9,1242600
2009-03-30,10.1751,17.2,18.1,17.2,18.1,783100
2009-03-31,10.1751,17.2,17.45,17.15,17.2,410100
2009-04-01,10.323,17.45,17.6,17.35,17.5,461700
2009-04-02,10.6484,18.0,18.2,17.6,17.7,1301100
2009-04-03,10.4709,17.7,18.3,17.6,18.3,821300
2009-04-06,10.9738,18.55,18.85,17.9,17.9,1531400
2009-04-07,11.24,19.0,19.0,18.55,18.55,1676300
2009-04-08,11.5653,19.55,20.0,18.9,19.0,2607800
2009-04-09,11.8907,20.1,20.3,19.7,19.8,1386500
2009-04-10,11.8315,20.0,20.4,19.4,20.4,1194300
2009-04-13,11.8315,20.0,20.3,19.95,20.0,739300
2009-04-14,11.7428,19.85,20.05,19.7,20.0,596600
2009-04-15,11.6541,19.7,20.6,19.65,20.0,661700
2009-04-16,11.9203,20.15,20.2,19.65,19.9,1035900
2009-04-17,11.0921,18.75,20.35,18.75,20.3,946000
2009-04-20,11.0921,18.75,19.1,18.2,18.8,425800
2009-04-21,11.2991,19.1,19.1,18.55,18.9,221300
2009-04-22,11.5949,19.6,19.7,19.0,19.3,625800
2009-04-23,11.6541,19.7,19.7,19.3,19.5,377500
2009-04-24,11.7132,19.8,20.2,19.6,19.7,553900
2009-04-27,11.1217,18.8,19.95,18.55,19.8,756100
2009-04-28,10.7076,18.1,19.0,18.0,19.0,402200
2009-04-29,10.7667,18.2,18.3,17.9,18.2,425800
2009-04-30,11.3287,19.15,19.3,18.5,18.5,515700
2009-05-04,11.5358,19.5,19.75,19.1,19.35,859500
2009-05-05,11.3583,19.2,19.8,18.5,19.8,856100
2009-05-06,11.3583,19.2,19.5,18.8,19.0,726900
2009-05-07,11.24,19.0,19.5,18.85,19.5,929200
2009-05-08,11.24,19.0,19.3,19.0,19.05,706700
2009-05-11,11.5358,19.5,19.8,19.15,19.2,1228000
2009-05-12,11.24,19.0,19.5,19.0,19.5,929200
2009-05-13,11.3287,19.15,19.3,19.0,19.0,388700
2009-05-14,11.0921,18.75,19.1,18.75,19.05,614600
2009-05-15,11.1808,18.9,19.25,18.85,19.0,546000
2009-05-18,11.24,19.0,19.45,18.8,19.45,332500
2009-05-19,11.2991,19.1,19.3,18.9,19.3,559500
2009-05-20,11.5358,19.5,19.8,18.95,19.2,1084200
2009-05-21,11.5358,19.5,19.7,19.35,19.45,646000
2009-05-22,11.5358,19.5,19.55,19.3,19.4,637000
2009-05-25,11.7724,19.9,19.9,19.4,19.8,952800
2009-05-26,11.8907,20.1,20.45,19.8,20.0,1289800
2009-05-27,11.8907,20.1,20.4,19.8,19.8,874100
2009-06-01,12.009,20.3,20.5,19.9,20.2,1048300
2009-06-02,11.9203,20.15,20.9,20.0,20.5,715700
2009-06-03,11.802,19.95,20.15,19.8,20.15,501100
2009-06-04,11.802,19.95,20.15,19.8,19.95,326900
2009-06-05,11.7724,19.9,20.1,19.85,20.1,210100
2009-06-08,11.7428,19.85,20.4,19.85,20.4,380800
2009-06-09,11.2991,19.1,19.85,19.1,19.85,562900
2009-06-10,11.24,19.0,19.2,18.7,19.0,537000
2009-06-11,11.2991,19.1,19.3,18.95,19.25,219100
2009-06-12,11.1808,18.9,19.3,18.7,19.3,323500
2009-06-15,10.9442,18.5,18.9,18.25,18.9,408900
2009-06-16,11.0921,18.75,18.8,18.35,18.45,188700
2009-06-17,11.0921,18.75,18.95,18.7,18.75,196600
2009-06-18,11.1808,18.9,18.95,18.7,18.8,223500
2009-06-19,11.24,19.0,19.1,18.9,19.1,95500
2009-06-22,11.5062,19.45,19.5,19.0,19.1,189800
2009-06-23,11.4174,19.3,19.45,19.1,19.3,162900
2009-06-24,11.802,19.95,20.05,19.2,19.3,574100
2009-06-25,12.3344,20.85,21.2,19.9,19.9,935900
2009-06-26,12.3344,20.85,21.1,20.5,20.8,505600
2009-06-29,12.1865,20.6,20.85,20.5,20.85,293200
2009-06-30,12.2456,20.7,20.75,20.45,20.65,358400
2009-07-01,12.2456,20.7,20.7,20.5,20.7,451600
2009-07-02,12.5119,21.15,21.15,20.7,20.85,1240400
2009-07-03,11.3879,19.25,19.35,18.9,19.35,696600
2009-07-06,11.1808,18.9,19.25,18.85,19.1,362900
2009-07-07,11.1512,18.85,19.1,18.75,18.9,304400
2009-07-08,11.0921,18.75,18.85,18.7,18.8,248300
2009-07-09,11.24,19.0,19.1,18.75,18.75,334800
2009-07-10,11.3287,19.15,19.3,19.0,19.3,259500
2009-07-13,11.1217,18.8,19.25,18.4,19.25,514600
2009-07-14,11.1808,18.9,18.95,18.7,18.8,419000
2009-07-15,11.3287,19.15,19.3,18.9,19.0,491000
2009-07-16,11.3583,19.2,19.45,19.1,19.15,325800
2009-07-17,11.3287,19.15,19.25,19.05,19.2,265100
2009-07-20,11.4766,19.4,19.5,19.1,19.15,466200
2009-07-21,11.7132,19.8,20.1,19.45,19.9,716800
2009-07-22,11.5358,19.5,20.05,19.5,19.9,388700
2009-07-23,12.3344,20.85,20.85,19.5,19.6,1238100
2009-07-24,13.1922,22.3,22.3,21.5,22.0,2688700
2009-07-27,13.0739,22.1,23.0,21.9,22.8,1321300
2009-07-28,13.2809,22.45,22.45,22.1,22.3,923500
2009-07-29,13.3696,22.6,23.5,22.45,22.45,1091000
2009-07-30,13.6654,23.1,23.1,22.1,22.6,597700
2009-07-31,14.6119,24.7,24.7,23.5,23.8,1087600
2009-08-03,15.6176,26.4,26.4,26.0,26.4,1379100
2009-08-04,15.6176,26.4,28.2,25.5,28.2,2635000
2009-08-05,14.5528,24.6,25.8,24.6,24.6,1491000
2009-08-06,14.5528,24.6,24.6,23.5,24.2,948300
